STRUCTURE_NUMBER_008,LOCATION_009,"coordinates (lat, lon)",ADT_029,PERCENT_ADT_TRUCK_109,ADTT,SLF,ADTT_SL,YEAR_BUILT_027,YEAR_RECONSTRUCTED_106,EFFECTIVE_YEAR,AGE,STRUCTURE_KIND_043A,AM_years,AE_years,Risk_Index
1.8057E+14,1.25 MI N OF IH 30,"32.473304, -96.473298",180381,6.0,10822.86,1.0,10822.86,1949,1973.0,1973.0,52.0,4,4.050280280661140,2.025140140330570,0.9998844838913060
1.4227E+14,6.65 MI S OF US 183,"30.150248, -97.440931",129685,10.0,12968.5,1.0,12968.5,1954,1982.0,1982.0,43.0,4,3.380160885095130,1.690080442547560,0.9998783317362940
1.4246E+14,0.2 MI N OF FM 620,"30.304693, -97.41132",131906,12.0,15828.72,1.0,15828.72,1960,1990.0,1990.0,35.0,4,2.7693721563307800,1.384686078165390,0.999873756513152
1.8057E+14,1.7 Mi E of IH 45,"32.472743, -96.453177",80460,11.0,8850.6,1.0,8850.6,1963,0.0,1963.0,62.0,3,4.952841212839370,2.476420606419690,0.9998667919008460
1.8057E+14,2.5 Mi N of IH 20,"32.440608, -96.364419",81226,12.0,9747.12,1.0,9747.12,1969,0.0,1969.0,56.0,4,4.497289090352450,2.2486445451762200,0.9998627778102540
1.2102E+14,3.80 MI E OF US 290,"29.484994, -95.232957",97129,9.0,8741.61,1.0,8741.61,1963,0.0,1963.0,62.0,4,5.014593014142260,2.507296507071130,0.9998572225891530
1.2102E+14,3.30 MI E OF US 290,"29.484645, -95.23579",97129,9.0,8741.61,1.0,8741.61,1963,0.0,1963.0,62.0,4,5.014593014142260,2.507296507071130,0.9998572225891530
1.2102E+14,4.30 MI E OF US 290,"29.485019, -95.225718",97129,9.0,8741.61,1.0,8741.61,1963,0.0,1963.0,62.0,4,5.014593014142260,2.507296507071130,0.9998572225891530
1.0212E+14,0.3 MI E OF US 69,"32.280594, -95.22588",20932,41.0,8582.120000000000,1.0,8582.120000000000,1962,0.0,1962.0,63.0,4,5.107784141722110,2.5538920708610600,0.9998552856144240
1.0212E+14,8.0 MI E OF SH 110,"32.280673, -95.231544",20932,41.0,8582.120000000000,1.0,8582.120000000000,1962,0.0,1962.0,63.0,4,5.107784141722110,2.5538920708610600,0.9998552856144240
